iter	Passed	Remaining
0	177	176869
1	188	94127
2	195	64994
3	202	50507
4	209	41714
5	217	35970
6	224	31801
7	232	28785
8	238	26305
9	246	24398
10	253	22781
11	260	21414
12	267	20342
13	274	19351
14	282	18519
15	288	17770
16	295	17108
17	302	16522
18	309	15995
19	316	15530
20	323	15093
21	331	14727
22	338	14380
23	346	14088
24	353	13797
25	361	13535
26	368	13278
27	376	13068
28	383	12844
29	390	12633
30	398	12451
31	406	12296
32	414	12141
33	421	11975
34	429	11836
35	435	11668
36	443	11551
37	450	11416
38	458	11295
39	465	11169
40	473	11067
41	480	10954
42	487	10855
43	494	10754
44	502	10657
45	509	10567
46	516	10467
47	523	10390
48	530	10301
49	539	10243
50	547	10182
51	554	10112
52	562	10044
53	570	9994
54	577	9929
55	585	9868
56	593	9812
57	601	9762
58	608	9705
59	615	9645
60	623	9592
61	630	9531
62	637	9484
63	645	9435
64	652	9389
65	659	9338
66	667	9291
67	674	9238
68	681	9193
69	689	9162
70	696	9117
71	704	9078
72	710	9028
73	718	8990
74	724	8939
75	732	8901
76	738	8857
77	746	8824
78	754	8794
79	762	8767
80	770	8737
81	778	8710
82	785	8677
83	793	8650
84	801	8626
85	809	8600
86	817	8582
87	826	8562
88	834	8537
89	841	8511
90	849	8487
91	857	8464
92	865	8437
93	872	8409
94	879	8381
95	887	8360
96	895	8337
97	903	8315
98	911	8292
99	918	8269
100	926	8246
101	933	8218
102	940	8193
103	947	8163
104	954	8137
105	961	8110
106	968	8085
107	975	8059
108	982	8031
109	990	8012
110	996	7984
111	1004	7965
112	1011	7939
113	1018	7917
114	1025	7892
115	1032	7868
116	1039	7845
117	1046	7823
118	1053	7798
119	1060	7774
120	1067	7754
121	1074	7735
122	1082	7716
123	1089	7698
124	1098	7689
125	1107	7678
126	1115	7669
127	1124	7658
128	1132	7646
129	1139	7628
130	1147	7615
131	1158	7620
132	1166	7607
133	1174	7589
134	1182	7573
135	1189	7557
136	1197	7543
137	1205	7528
138	1212	7512
139	1219	7490
140	1226	7474
141	1234	7458
142	1241	7438
143	1247	7418
144	1254	7398
145	1261	7379
146	1268	7360
147	1276	7346
148	1283	7328
149	1289	7308
150	1296	7291
151	1303	7272
152	1312	7266
153	1319	7249
154	1327	7235
155	1334	7217
156	1341	7202
157	1348	7183
158	1354	7164
159	1362	7151
160	1369	7134
161	1377	7124
162	1383	7106
163	1391	7091
164	1397	7074
165	1404	7058
166	1411	7042
167	1418	7024
168	1425	7011
169	1432	6996
170	1440	6982
171	1447	6968
172	1454	6954
173	1461	6938
174	1468	6923
175	1476	6911
176	1482	6893
177	1490	6884
178	1497	6869
179	1505	6857
180	1512	6843
181	1519	6828
182	1526	6814
183	1533	6799
184	1540	6784
185	1548	6774
186	1555	6763
187	1562	6750
188	1570	6739
189	1577	6724
190	1584	6710
191	1591	6696
192	1598	6682
193	1605	6672
194	1612	6657
195	1621	6650
196	1628	6637
197	1635	6625
198	1642	6610
199	1649	6596
200	1656	6583
201	1662	6568
202	1670	6557
203	1677	6546
204	1685	6536
205	1692	6524
206	1700	6513
207	1707	6501
208	1714	6489
209	1721	6477
210	1729	6466
211	1736	6453
212	1743	6440
213	1750	6429
214	1757	6415
215	1764	6404
216	1771	6390
217	1778	6378
218	1785	6367
219	1792	6354
220	1799	6343
221	1806	6330
222	1814	6321
223	1820	6307
224	1827	6295
225	1834	6283
226	1841	6270
227	1848	6259
228	1855	6246
229	1863	6237
230	1870	6225
231	1877	6215
232	1884	6203
233	1891	6191
234	1898	6180
235	1905	6167
236	1912	6158
237	1919	6146
238	1927	6136
239	1933	6124
240	1940	6112
241	1947	6100
242	1954	6088
243	1961	6078
244	1969	6067
245	1977	6059
246	1983	6047
247	1991	6040
248	1998	6028
249	2007	6022
250	2014	6012
251	2022	6003
252	2029	5991
253	2036	5980
254	2043	5970
255	2050	5958
256	2058	5950
257	2064	5938
258	2072	5929
259	2079	5918
260	2086	5906
261	2093	5896
262	2100	5885
263	2107	5875
264	2114	5865
265	2122	5856
266	2129	5846
267	2136	5835
268	2143	5824
269	2150	5815
270	2158	5805
271	2165	5795
272	2172	5786
273	2179	5775
274	2187	5767
275	2194	5757
276	2202	5748
277	2209	5738
278	2216	5728
279	2223	5716
280	2229	5705
281	2237	5696
282	2244	5686
283	2252	5678
284	2259	5668
285	2266	5658
286	2273	5647
287	2280	5637
288	2287	5628
289	2294	5618
